x_vals,y_tot,y_net,m_vals,y_err
2.415000081062317,0.21589039626996964,-217247.01056874034,0.0,108623.61322956976
2.4250000715255737,0.16811617629718967,-216200.57973835143,0.0,108100.37392726498
2.4350000619888306,0.215257920906879,-215133.2944258603,0.0,107566.75484189205
2.4450000524520874,0.2122628857032396,-214039.46502732858,0.0,107019.83864510855
2.4550000429153442,0.22207957255886868,-212918.65491720592,0.0,106459.4384983907
2.465000033378601,0.21094405907206237,-211775.11474654044,0.0,105887.66284530114
2.475000023841858,0.2111696959764231,-210617.69612734547,0.0,105308.95364852212
2.4850000143051147,0.2308562602265738,-209457.54911679716,0.0,104728.88998653022
2.4950000047683716,0.22294364709523506,-208306.44813526742,0.0,104153.33553945874
2.5049999952316284,0.20834131792071275,-207174.87128018905,0.0,103587.53981075487
2.5149999856948853,0.20485807754448615,-206070.66579608215,0.0,103035.43532708118
2.524999976158142,0.1864983188570477,-204998.16576874093,0.0,102499.17613353115
2.534999966621399,0.17917233545449562,-203958.42958083868,0.0,101979.30437658826
2.5449999570846558,0.2057909268187359,-202949.87594407282,0.0,101475.04086750119
2.5549999475479126,0.19182062239269726,-201969.27874733397,0.0,100984.73528397946
2.5649999380111694,0.20897828129818663,-201012.21730392126,0.0,100506.21314110268
2.5749999284744263,0.1924910847155843,-200074.63980402116,0.0,100037.41614755424
2.584999918937683,0.15460650552995503,-199152.57013524493,0.0,99576.36237087628
2.59499990940094,0.20685612509259954,-198242.96377644406,0.0,99121.58531628599
2.6049998998641968,0.1866201758675743,-197343.76437064735,0.0,98671.97549541289
2.6149998903274536,0.19870048799202777,-196453.29706843576,0.0,98226.74788446323
2.625,0.19342563577811234,-195570.4595934765,0.0,97785.32650955746
2.6350001096725464,0.19632021090365015,-194694.77855464123,0.0,97347.48743742742
2.6450001001358032,0.172406627854798,-193825.46256004227,0.0,96912.81748333626
2.65500009059906,0.18226511709508486,-192962.082136672,0.0,96481.13220089581
2.665000081062317,0.1801172791456338,-192104.10135617282,0.0,96052.14073672725
2.6750000715255737,0.17536098827258684,-191250.43163852583,0.0,95625.30349975829
2.6850000619888306,0.19798495050054044,-190400.15354543345,0.0,95200.1757651934
2.6950000524520874,0.17838381571345963,-189552.12777459965,0.0,94776.15307920898
2.7050000429153442,0.16415293409954756,-188705.39225113645,0.0,94352.77820203648
2.715000033378601,0.17751209996640682,-187859.1275841714,0.0,93929.65254813699
2.725000023841858,0.22441582061583176,-187013.40280578914,0.0,93506.81361080655
2.7350000143051147,0.21143146132817492,-186168.78337991383,0.0,93084.49740568917
2.7450000047683716,0.16864471216103993,-185326.69345527748,0.0,92663.43104999608
2.7549999952316284,0.18740738311316818,-184488.77098738606,0.0,92244.47919738601
2.7649999856948853,0.17357476477627642,-183657.17465160397,0.0,91828.67411318571
2.774999976158142,0.18069614883279428,-182833.53970668843,0.0,91416.86020142004
2.784999966621399,0.15800843559554778,-182019.2832052661,0.0,91009.72060685208
2.7949999570846558,0.1577816818607971,-181214.70317492567,0.0,90607.43047830499
2.8049999475479126,0.1743386682064738,-180419.7044673729,0.0,90209.93940302193
2.8149999380111694,0.15289503789972514,-179633.6887675145,0.0,89816.92083127741
2.8249999284744263,0.16092027802369557,-178855.31250184338,0.0,89427.73671106195
2.834999918937683,0.188457794720307,-178083.6229097692,0.0,89041.90568378345
2.84499990940094,0.179682149522705,-177317.68234195843,0.0,88658.93101205539
2.8549998998641968,0.18766192355542444,-176556.70133731133,0.0,88278.44449961891
2.8649998903274536,0.13876196247292683,-175800.41581556245,0.0,87900.27728876355
2.875,0.16764119183062576,-175048.5524370788,0.0,87524.36003913663
2.8850001096725464,0.174333342933096,-174301.0694818789,0.0,87150.62190761231
2.8950001001358032,0.17274792166426778,-173558.18921354934,0.0,86779.18098073687
2.90500009059906,0.17671527032507583,-172819.97289203294,0.0,86410.07480365304
2.915000081062317,0.17932036871206947,-172086.44224792096,0.0,86043.31078414626
2.9250000715255737,0.15575559067656286,-171357.73537329558,0.0,85678.94556444438
2.9350000619888306,0.17494576616445556,-170633.8096681276,0.0,85316.99230694828
2.9450000524520874,0.13906316831707954,-169914.65715234872,0.0,84957.39810775964
2.9550000429153442,0.1624138920160476,-169200.0204813023,0.0,84600.09144759848
2.965000033378601,0.17339079192606732,-168489.94298042535,0.0,84245.05818561006
2.975000023841858,0.16375168165541254,-167784.40843828305,0.0,83892.28609498369
2.9850000143051147,0.15138701951946132,-167083.23979982798,0.0,83541.69559342499
2.9950000047683716,0.16795429511694238,-166386.2683098057,0.0,83193.2181320518
3.0049999952316284,0.16115172655554488,-165693.63455111533,0.0,82846.89785142228
3.0149999856948853,0.15023761606425978,-165005.17117957238,0.0,82502.66070859547
3.024999976158142,0.13381793862208724,-164320.7951659221,0.0,82160.46449193152
3.034999966621399,0.16849295000429265,-163640.44954552987,0.0,81820.30901924137
3.0449999570846558,0.15626770665403455,-162964.22385888983,0.0,81482.19006329957
3.0549999475479126,0.15096457689651288,-162291.93920275592,0.0,81146.0450836677
3.0649999380111694,0.17480887903366238,-161623.38969328927,0.0,80811.78225108565
3.0749999284744263,0.1292715372692328,-160958.65729109288,0.0,80479.39328131618
3.084999918937683,0.1392905644606799,-160297.32326551428,0.0,80148.73127804059
3.09499990940094,0.16891626504366286,-159639.1706918107,0.0,79819.66980403934
3.1049998998641968,0.17490657814778388,-158983.94224799785,0.0,79492.05857728953
3.1149998903274536,0.15288198099005967,-158331.29212635587,0.0,79165.72250416978
3.125,0.16449312848271802,-157680.96823715873,0.0,78840.56636514507
3.1350001096725464,0.15923682897118852,-157032.7606900658,0.0,78516.45996344883
3.1450001001358032,0.1496988434519153,-156386.5107455369,0.0,78193.33022219154
3.15500009059906,0.15283020783681422,-155742.25635903495,0.0,77871.20459462277
3.165000081062317,0.13892995531205088,-155100.27364781176,0.0,77550.2062888848
3.1750000715255737,0.1490908341947943,-154460.80492642344,0.0,77230.4770086302
3.1850000619888306,0.14503292777226306,-153824.27943957303,0.0,76912.21223625173
3.1950000524520874,0.1323980328743346,-153191.29290834692,0.0,76595.71265319113
3.2050000429153442,0.11829192732693627,-152562.34485418067,0.0,76281.2315730551
3.215000033378601,0.15693340625148267,-151937.8186026627,0.0,75968.98776803595
3.225000023841858,0.12852820681291632,-151318.27681719896,0.0,75659.20267270411
