x_vals,y_tot,y_net,m_vals,y_err
3.9250000715255737,0.00021783559350296855,-116564.15896775744,0.0,58282.079592796515
3.9350000619888306,0.00021837685198988765,-116162.06446010171,0.0,58081.03233923928
3.9450000524520874,0.00029190932400524616,-115762.03793273409,0.0,57881.01911232171
3.9550000429153442,0.0002926702727563679,-115363.92109361268,0.0,57681.960693141475
3.965000033378601,0.00023231754312291741,-114967.67086401576,0.0,57483.83554816665
3.975000023841858,0.00026973828789778054,-114573.08493105846,0.0,57286.542600398374
3.9850000143051147,0.0002582028100732714,-114180.13589360044,0.0,57090.06807590164
3.9950000047683716,0.0003082703333348036,-113788.70078335487,0.0,56894.3505458126
4.005000114440918,0.00027207605307921767,-113398.74461218205,0.0,56699.37244212904
4.015000104904175,0.00019846612121909857,-113010.26371347139,0.0,56505.131955968754
4.025000095367432,0.00023639514984097332,-112623.32519011754,0.0,56311.662713256344
4.0350000858306885,0.00018720244406722486,-112238.042020149,0.0,56119.021103675725
4.045000076293945,0.0001877847535070032,-111854.50253153314,0.0,55927.25135965895
4.055000066757202,0.00011302427446935326,-111472.93014942449,0.0,55736.46513122438
4.065000057220459,0.00021416468371171504,-111093.57516616241,0.0,55546.787690163546
4.075000047683716,0.00030331031302921474,-110716.51718988214,0.0,55358.25874659623
4.085000038146973,0.0001774949923856184,-110341.8222965603,0.0,55170.91123702765
4.0950000286102295,0.00026709356461651623,-109969.61924492058,0.0,54984.809756007075
4.105000019073486,0.00029346787778194994,-109599.92188543567,0.0,54799.961089451775
4.115000009536743,0.000230406440095976,-109232.68426112777,0.0,54616.342245767104
4.125,0.00024398599634878337,-108867.92013482677,0.0,54433.96018940637
4.134999990463257,0.00018035437096841633,-108505.52044792044,0.0,54252.760314137406
4.144999980926514,0.0002713951253099367,-108145.38413150223,0.0,54072.692201448685
4.1549999713897705,0.00032411786378361285,-107787.46902654295,0.0,53893.73467533041
4.164999961853027,0.00018208104302175343,-107431.59842218351,0.0,53715.799302132276
4.174999952316284,0.00027398447855375707,-107077.79674716336,0.0,53538.89851057392
4.184999942779541,0.0002094074443448335,-106725.97744768026,0.0,53362.98882854385
4.194999933242798,0.0002494523214409128,-106376.0701022679,0.0,53188.03517586011
4.204999923706055,0.00017121346900239587,-106028.1321578728,0.0,53014.06616454314
4.2149999141693115,0.00031707872403785586,-105682.09595579514,0.0,52841.04813643693
4.224999904632568,0.00018554482085164636,-105337.98175119435,0.0,52668.99096836959
4.234999895095825,0.00017283616762142628,-104995.68656725486,0.0,52497.843370045506
4.244999885559082,0.00016004839562810957,-104655.21825195082,0.0,52327.60920599961
4.255000114440918,0.00026760168839246035,-104316.51701779092,0.0,52158.2586426963
4.265000104904175,0.00020134964142926037,-103979.63637953468,0.0,51989.81829044216
4.275000095367432,0.00016160463565029204,-103644.50682463309,0.0,51822.253493118864
4.2850000858306885,0.0002702265192056075,-103311.12064545049,0.0,51655.5604578385
4.295000076293945,0.00025756529066711664,-102979.36150555851,0.0,51489.6808815619
4.305000066757202,0.00023122155107557774,-102649.30493343117,0.0,51324.65258232636
4.315000057220459,0.00020470279559958726,-102320.8978419713,0.0,51160.449023337045
4.325000047683716,0.0002327768743271008,-101994.12843206208,0.0,50997.064332419475
4.335000038146973,0.00020608367049135268,-101668.98754765835,0.0,50834.49387687101
4.3450000286102295,0.0001378524029860273,-101345.42193736562,0.0,50672.71103760901
4.355000019073486,0.0003319609968457371,-101023.51826854782,0.0,50511.75930025441
4.365000009536743,0.00019429562962614,-100703.22823459009,0.0,50351.61421444286
4.375,9.747399599291384e-05,-100384.54260491539,0.0,50192.27135119469
4.384999990463257,0.00027942955784965307,-100067.46047735825,0.0,50033.730378393906
