x_vals,y_tot,y_net,m_vals,y_err
8.78499984741211,0.0005360437861772029,0.00010652183564360559,6.160398013851463e-06,0.00022176200879235307
8.795000076293945,0.0001796520621562415,-0.0003259579764706078,6.122467738496485e-06,0.00013405149747724017
8.805000305175781,0.0004515722963461043,2.3204537645489337e-05,6.0847776787633295e-06,0.00020528104633482923
8.815000057220459,0.0006356417055867839,0.00017275240339742674,6.047326462764278e-06,0.00024340592796109735
8.824999809265137,0.0003652025393552833,-9.348960519730343e-05,6.010114050754516e-06,0.0001864290857536481
8.835000038146973,0.0003671945713702297,-6.353505925811445e-05,5.973140198633337e-06,0.00018703165727749024
8.845000267028809,0.0005538010880193372,7.923784408752752e-05,5.936403493250934e-06,0.00022984065608726062
8.855000019073486,0.00046402665974395687,4.663740725641893e-05,5.899899610381057e-06,0.000210523666592556
8.864999771118164,0.000746516755363705,0.00031102086722562065,5.863632849543269e-06,0.0002665689381664419
8.875,0.0005629685748329694,8.247437323627726e-05,5.827599230926735e-06,0.00023288872608971022
8.885000228881836,0.0006604222872135816,0.00022478136478276407,5.791795825543824e-06,0.00025258627446210106
8.894999980926514,0.0003794745406566663,-6.01370474974036e-05,5.7562209110636115e-06,0.00019380899383925437
8.904999732971191,0.0,-0.0004603491278572657,5.7208725237670266e-06,3.991938926023089e-05
8.914999961853027,0.0008633554382726744,0.0003864113965352172,5.685747821960995e-06,0.00029056436862786905
8.925000190734863,0.00048232844088399676,-5.646022197068621e-06,5.650843976939379e-06,0.00021932520727684318
8.934999942779541,0.00038803143369656754,-5.033393344786798e-05,5.6161571211593094e-06,0.00019783215506475344
8.944999694824219,0.000292665308998588,-0.0001864011260967455,5.581689311690583e-06,0.0001742219350187356
8.954999923706055,9.810724268905679e-05,-0.0003879289892888935,5.547436698401809e-06,0.00010652052591937221
8.96500015258789,0.0007893135929525098,0.0002562977290490528,5.513398191792704e-06,0.0002827139954967109
8.974999904632568,0.00019845175401952657,-0.00023963269410390864,5.479572161161232e-06,0.0001454269502717979
8.984999656677246,0.0008981299502516675,0.00046163478086862095,5.445957243685443e-06,0.00030181671923857896
8.994999885559082,0.00040145280332434867,-7.716326040037579e-05,5.4125532463321e-06,0.00020509348396171624
9.005000114440918,0.00030281617854409164,-0.00028733462729245245,5.379357797562151e-06,0.0001812068904741151
9.015000343322754,0.0004060765199641578,-7.381723620508436e-05,5.3463744712657375e-06,0.00020708031029503265
9.025000095367432,0.000204208913763331,-0.0003246628401649539,5.3136010706649786e-06,0.00015086906741802617
9.03499984741211,0.0006161697531280015,0.00010347927945700935,5.281037684368399e-06,0.0002551028870443033
9.045000076293945,0.0002065818304247279,-0.00033332086236310146,5.248683379560489e-06,0.00015291384539185864
9.055000305175781,0.0004155707642158642,-0.000129642090645753,5.216537003676187e-06,0.00021333347730016487
9.065000057220459,0.0005225016176772967,-3.889583300864987e-05,5.1845986251425725e-06,0.00023894950243518416
