x_vals,y_tot,y_net,m_vals,y_err
4.575000047683716,0.0002827604100349528,0.0001915146251274126,9.834932170497366e-05,6.529219474193395e-05
4.585000038146973,0.00020906930759108977,0.0001049348162969854,9.766524469186667e-05,5.639664648658338e-05
4.5950000286102295,0.00023976652530599687,0.00015179614855058275,9.69860543132629e-05,6.031153993625723e-05
4.605000019073486,0.00012030172510052388,1.5654826777421966e-05,9.6311633156582e-05,4.323841169602204e-05
4.615000009536743,0.00018108463632253766,8.252107263230366e-05,9.564200028590448e-05,5.2797413703026835e-05
4.625,0.00019686340109042127,8.351794448003625e-05,9.497710979588715e-05,5.5183860782868605e-05
4.634999990463257,0.00015196488395222995,5.330712971182582e-05,9.431693280890488e-05,4.862446341654207e-05
4.644999980926514,0.00032024455799288504,0.0002147514436943425,9.366138433899545e-05,7.03038552839593e-05
4.6549999713897705,0.0002754547644459809,0.00017546868134645733,9.301052082777557e-05,6.537187159326118e-05
4.664999961853027,0.00033783958570599037,0.00023272683365050623,9.236433238280719e-05,7.243605028811542e-05
4.674999952316284,0.00023114416413288813,0.00012604819849631357,9.172275823245935e-05,6.015498891849229e-05
4.684999942779541,0.00030925756582624253,0.00020585399417204822,9.108593217905577e-05,6.962627222178739e-05
4.694999933242798,0.00031032306584139754,0.0002103123565989656,9.045371988470062e-05,6.975961581247598e-05
4.704999923706055,0.000140125769150546,4.319825173447403e-05,8.982624323315034e-05,4.7357417149686526e-05
4.7149999141693115,0.00026559212763264397,0.00015932558622296504,8.92033608672329e-05,6.484740427418425e-05
4.724999904632568,0.0002665071772432056,0.00015064415948479732,8.858517348592095e-05,6.523019367899844e-05
4.734999895095825,0.0002516973560089699,0.00015422712329916084,8.797151231336431e-05,6.334366331098777e-05
4.744999885559082,0.00015785758242261495,6.06616638688539e-05,8.736239348308557e-05,5.045290108583228e-05
4.755000114440918,0.00025345627428233143,0.0001570318241302865,8.67578206394654e-05,6.381643975208877e-05
4.765000104904175,0.00019076275411478768,8.315466103146466e-05,8.615760479957012e-05,5.568925267210248e-05
4.775000095367432,0.0001595345184603738,5.3046526957242544e-05,8.556174252539771e-05,5.111132892815047e-05
4.7850000858306885,0.00027218127130981546,0.00017325830199561965,8.497020469866685e-05,6.652185080560844e-05
4.795000076293945,0.00030530341961418947,0.00019130414915204474,8.438292068017212e-05,7.055735478290769e-05
